restaurant_id,restaurant_name,source,matched_terms_text,latitude,longitude,distance_m,distance_km,address,rating,review_count,price_min,price_max,categories_text,opening_hours,delivery_time,image_url,menu_count,comment_count,comments_list
25639,Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn,befood,bún chả | cơm | phở,21.00948906,105.8276825,1921.57,1.922,"101A5 ngõ 167 Tây Sơn, Quang Trung, Đống Đa, Hà Nội",4.6,562,15000,490009,COMBO | BÚN MIẾN PHỞ | CƠM GÀ | ĐỒ UỐNG | Cơm Ngon,15:30-20:00,30,https://media.be.com.vn/bizops/image/1cd2e1e9-80fa-11ed-9e97-4eb73f678c53/original,47,4,"[""ngon đấy, Ngon xỉu"", ""đặt phở cho bún?"", ""bún ngan trộn của mình có cả gián ???"", ""bán đồ ăn ko có tâm. bán bún gà mà ko cho tương ớt chanh. rau sống. ăn 1 lần sợ vl""]"
97742,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn",befood,bánh cuốn | bún chả | cơm,21.01016045,105.8263779,2071.82,2.072,"55C Ngách 25 Ngõ 167 Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội",4.3,11,58000,95000,cơm vị nhà nấu - thay đổi theo ngày | Bún Chả | Cơm Tấm Sài Gòn | Bánh Cuốn,17:00-20:00,30,https://media.be.com.vn/bizops/image/662cdec9-98d6-11ef-bd66-b239c83a8124/original,14,7,"[""cơm quá tệ, Không hợp khẩu vị, Đóng gói chưa tốt"", ""Ngon xỉu"", ""Đáng đồng tiền, Ngon xỉu, Sạch sẽ, Đóng gói tốt"", ""Đáng đồng tiền"", ""Ăn bún chả là chỉ nghĩ đến nhà Nabi, vị đậm đà ngon và rất yên tâm về thực phẩm 🥰, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt, Ngon xỉu"", ""Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""cơm sườn chả trứng mà k có chả trứng""]"
130307,"Phở Bò Nội - Bún Chả, Cháo & Cơm - Trần Hưng Đạo",befood,bún chả | cơm | phở,21.02345085,105.8435669,2049.33,2.049,"94A Trần Hưng Đạo, Phường Cửa Nam, Hà Nội",4.8,10,50000,60000,Phở,05:00-20:00,7,https://media.be.com.vn/bizops/image/f1421c79-192a-11f1-b63c-1ec8367384f0/original,3,3,"[""Ngon xỉu, Đóng gói tốt, Đáng đồng tiền"", ""Đáng đồng tiền, Đóng gói tốt, Ngon xỉu"", ""ghi chú phần bò tái ko trần thì lại trần kỹ cứng hết cả, thịt chín nạm thì ko thấy đâu, Sai/Thiếu món, Không làm đúng ghi chú""]"
22758,PhuongKitchen - Cơm & Đồ Ăn Vặt - Ngõ Chùa Liên Phái Bạch Mai,befood,cơm | gà rán,21.00464058,105.8488998,347.45,0.347,"22 Ngách 55 Ngõ Chùa Liên Phái Bạch Mai, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội",4.7,7,11000,65000,XÔI CHIÊN | CƠM | TRÀ SỮA | MỲ | ĂN VẶT | ĐỒ UỐNG,10:00-23:59,30,https://media.be.com.vn/bizops/image/2480764d-e461-11f0-9063-66448d787802/original,54,3,"[""Đáng đồng tiền"", ""Ngon xỉu, Sạch sẽ, Đóng gói tốt"", ""Không hợp khẩu vị, Đóng gói chưa tốt""]"
11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,befood,cơm | phở,21.00283051,105.8419876,452.43,0.452,"15 ngõ 75 Giải Phóng, Đồng Tâm, Đống Đa, Hà Nội",4.5,39,10000,80000,Deal 1K | PHỞ | CƠM RANG (BÁN BUỔI TRƯA) | Nước ngọt | Combo cùng coca,08:00-22:00,30,https://media.be.com.vn/be-food/image/e3cb2dee-d66c-11ec-9a9e-de6dabbc786c/original,28,10,"[""Quán đóng gói không cẩn thận.cả cơm và mì đều lèo tèo quá ít so với các chi nhánh khác., Đóng gói chưa tốt"", ""Sạch sẽ"", ""Đóng gói tốt, Sạch sẽ"", ""Đóng gói tốt"", ""Ngon xỉu, Đóng gói tốt, Đáng đồng tiền, Sạch sẽ"", ""Ngon xỉu, Sạch sẽ, Đóng gói tốt, Khác"", ""Ngon xỉu, Đóng gói tốt"", ""Sai/Thiếu món"", ""Khá ngon"", ""quán làm ăn cực kỳ tệ mình mua gửi bác đang nằm ở viện ung bướu( bác bị u.thu) dặn không hành rất to rồi nhưng vẫn cho 1 đống. bác ốm và không ăn được chút nào cả. cực kỳ bực bội, Không hợp khẩu vị, Sai/Thiếu món, Không làm đúng ghi chú""]"
11326,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,befood,cơm | gà rán,21.00079918,105.8419266,612.7,0.613,"17 Ngõ 205 Giải Phóng, P. Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",4.8,88,15000,55000,Combo Đồng Giá | Thực Đơn | Nước ngọt và nước ép,16:00-20:00,30,https://media.be.com.vn/bizops/image/6e0cf2ac-4251-11ee-8e31-f638ae20f033/original,27,5,"[""Đáng đồng tiền"", ""Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""Ngon xỉu, Đáng đồng tiền, Đóng gói tốt, Sạch sẽ"", ""siêu ngon luôn ya ✧(σ๑˃̶̀ꇴ˂̶́)σ siêu recommend mn mua nha (◍˃̶ᗜ˂̶◍)ﾉ” ăn siêu no \\(ϋ)/♩, Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""ko giống cơm vp""]"
8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,befood,cơm | phở,21.00073051,105.8418808,621.64,0.622,"16 Ngõ 205 Giải Phóng, phường Bạch Mai , Hà Nội",4.6,1787,35000,70000,Deal 1K | Cơm Rang Duy Nhất. | Bún Bò Huế Duy Nhất. | Phở Bò Gia Truyền. | Đồ Xào. | Bữa Trưa Nửa Giá,17:30-23:00,30,https://media.be.com.vn/be-food/image/496fc32f-acae-11ec-9b48-6ed632d2b0d9/original,27,10,"[""cơm giòn ngon, Đóng gói tốt, Đáng đồng tiền, Sạch sẽ, Ngon xỉu"", ""để đây và không nói gì , đặt nhiều lần r nhưng lần đầu bị như này chắc không có lần sau, Không đảm bảo vệ sinh"", ""Sạch sẽ"", ""Đáng đồng tiền"", ""Đóng gói tốt"", ""Đáng đồng tiền, Ngon xỉu, Sạch sẽ, Đóng gói tốt"", ""Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""Khá ngon"", ""Đóng gói chưa tốt"", ""phở xào hơi nhạt, hình như thiếu magie, cơm cũm hơi nhạt, mỗi nc canh là đậm""]"
126147,"Nhà Hàng Bin Bo - Bún Riêu Cua, Cơm Rang & Phở Xào - Phương Mai",befood,cơm | phở,21.00564957,105.8391571,670.59,0.671,"11 Ngách 8 Ngõ 4 Phương Mai, Phường Kim Liên, Hà Nội",4.3,4,1000,180000,MENU | ĐỒ UỐNG | ĐỒ CHAY | HỖ TRỢ KHÁCH HÀNG | ĐẶT CỖ,05:00-14:00,2,https://media.be.com.vn/bizops/image/51e8c6e0-db0f-11f0-b84b-3a4f2a37a94e/original,55,1,"[""không giống trên ảnh""]"
127398,"Vũ Gia - Phở Gà, Bún Thang & Cơm Gà Xối Mỡ - Phố Huế",befood,cơm | phở,21.00971985,105.8514175,792.16,0.792,"337 Phố Huế, Phường Hai Bà Trưng, Hà Nội",0,0,6500,910000,Phở Nước - Phở Trộn | Bún | Mì Tôm | Miến | Cơm | Xôi | Món Gà | Món Khác | Món Thêm | Đồ Uống,17:00-22:00,2,https://media.be.com.vn/bizops/image/8faa2567-eb94-11f0-b84b-3a4f2a37a94e/original,110,0,[]
124125,Gà Rán BigBites - Cơm Gà & Bánh Gà - Đại La,befood,cơm | gà rán,20.9979496,105.8443298,807.79,0.808,"60E2 Ngõ 128C Đại La, Phường Bạch Mai, Hà Nội",5,1,9000,160000,Cơm | Set Gà | Đồ Ăn Vặt | Đồ Uống | Sốt thêm,10:00-17:00,2,https://media.be.com.vn/bizops/image/3f8db60d-c91f-11f0-8b11-e6e7ca75c48c/original,22,0,[]
